tempo,breque,cria_jur_1,cria_jur_2,jus_estr,exec_jur_1,exec_jur_3,jus_exec
285,samba,0.00,0.00,,0.00,0.00,
286,samba,0.00,0.00,,0.00,0.00,
287,samba,0.00,0.00,,0.00,0.00,
288,samba,0.00,0.00,,0.00,0.00,
289,samba,0.00,0.00,,0.00,0.00,
290,samba,0.00,0.00,,0.00,0.00,
291,samba,0.00,0.00,,0.00,0.00,
292,samba,0.00,0.00,,0.00,0.00,
293,samba,0.00,0.00,,0.00,0.00,
294,samba,0.00,0.00,,0.00,0.00,
295,samba,0.00,0.00,,0.00,0.00,
296,samba,0.00,0.00,,0.00,0.00,
297,samba,0.00,0.00,,0.00,0.00,
298,samba,0.00,0.00,,0.00,0.00,
299,samba,0.00,0.00,,0.00,0.00,
300,samba,0.00,0.00,,0.00,0.00,
301,samba,0.00,0.00,,0.00,0.00,
302,seu lau,0.00,0.00,,0.00,0.00,
303,seu lau,0.00,0.00,,0.00,0.00,
304,seu lau,0.00,0.00,,0.00,0.00,
305,seu lau,0.00,0.00,,0.10,0.00,surdos
306,seu lau,0.00,0.00,,0.00,0.00,
307,seu lau,0.00,0.00,,0.00,0.00,
308,seu lau,0.00,0.00,,0.00,0.00,
309,seu lau,0.00,0.00,,0.00,0.00,
310,seu lau,0.00,0.00,,0.00,0.00,
311,seu lau,0.00,0.00,,0.00,0.00,
312,seu lau,0.00,0.00,,0.00,0.00,
313,seu lau,0.00,0.00,,0.00,0.00,
314,seu lau,0.00,0.00,,0.00,0.00,
315,isqueiro,0.00,1.00,frase tamborins,0.00,0.00,
316,isqueiro,0.00,0.00,,0.00,0.00,
317,isqueiro,0.00,0.00,,0.00,0.00,
318,isqueiro,0.00,0.00,,0.00,0.00,
319,isqueiro,0.00,0.00,,0.00,0.00,
320,isqueiro,0.00,0.00,,0.00,0.00,
321,isqueiro,0.00,0.00,,0.00,0.00,
322,maracatu,0.00,0.00,,0.00,0.00,
323,maracatu,0.00,0.00,,0.00,0.00,
324,maracatu,0.00,0.00,,0.00,0.00,
325,maracatu,0.00,0.00,,0.00,0.00,
326,maracatu,0.00,0.00,,0.00,0.00,
327,maracatu,0.00,0.00,,0.00,0.10,surdos
328,maracatu,0.00,0.00,,0.00,0.00,
329,maracatu,0.00,0.00,,0.00,0.00,
330,maracatu,0.00,0.00,,0.00,0.00,
331,maracatu,0.00,0.00,,0.00,0.00,
332,maracatu,0.00,0.00,,0.00,0.00,
333,maracatu,0.00,0.00,,0.00,0.00,
334,maracatu,0.00,0.00,,0.00,0.00,
335,maracatu,0.00,0.00,,0.00,0.00,
336,maracatu,2.00,0.00,frase repiques,0.00,0.00,
337,maracatu,0.00,0.00,,0.00,0.00,
338,maracatu,0.00,0.00,,0.00,0.00,
339,maracatu,0.00,0.00,,0.00,0.00,
340,maracatu,0.00,0.00,,0.00,0.00,
341,maracatu,0.00,0.00,,0.00,0.00,
342,maracatu,0.00,0.00,,0.00,0.00,
343,maracatu,0.00,0.00,,0.00,0.00,
344,maracatu,0.00,0.00,,0.00,0.00,
345,maracatu,0.00,0.00,,0.00,0.00,
346,maracatu,0.00,3.00,maracatu,0.00,0.00,
347,maracatu,0.00,0.00,,0.00,0.00,
348,maracatu,0.00,0.00,,0.00,0.00,
349,maracatu,0.00,0.00,,0.00,0.00,
350,maracatu,0.00,0.00,,0.00,0.00,
351,maracatu,0.00,0.00,,0.00,0.00,
352,maracatu,0.00,0.00,,0.00,0.00,
353,maracatu,0.00,0.00,,0.00,0.00,
354,maracatu,2.00,0.00,variacao ritmica,0.00,0.00,
355,maracatu,0.00,0.00,,0.00,0.00,
356,maracatu,0.00,0.00,,0.00,0.00,
357,maracatu,0.00,0.00,,0.00,0.00,
358,maracatu,0.00,0.00,,0.00,0.00,
359,maracatu,0.00,0.00,,0.00,0.00,
360,maracatu,0.00,0.00,,0.00,0.00,
361,maracatu,0.00,0.00,,0.00,0.00,
362,maracatu,0.00,0.00,,0.00,0.00,
363,maracatu,0.00,0.00,,0.00,0.00,
364,maracatu,0.00,0.00,,0.00,0.00,
365,maracatu,0.00,0.00,,0.00,0.00,
366,maracatu,0.00,0.00,,0.00,0.00,
367,maracatu,0.00,0.00,,0.00,0.00,
368,maracatu,0.00,0.00,,0.00,0.00,
369,maracatu,0.00,0.00,,0.00,0.00,
370,maracatu,0.00,0.00,,0.00,0.00,
371,maracatu,0.00,0.00,,0.00,0.10,tamborins
372,maracatu,0.00,0.00,,0.00,0.00,
373,maracatu,0.00,0.00,,0.00,0.00,
374,maracatu,0.00,0.00,,0.00,0.00,
375,maracatu,0.00,0.00,,0.00,0.00,
376,maracatu,0.00,0.00,,0.00,0.00,
377,maracatu,0.00,0.00,,0.00,0.00,
378,maracatu,0.00,0.00,,0.00,0.00,
379,maracatu,0.00,0.00,,0.00,0.00,
380,maracatu,0.00,0.00,,0.00,0.00,
381,maracatu,0.00,0.00,,0.00,0.00,
382,maracatu,0.00,0.00,,0.00,0.00,
383,maracatu,0.00,0.00,,0.00,0.00,
384,maracatu,0.00,0.00,,0.00,0.00,
385,maracatu,0.00,0.00,,0.00,0.00,
386,maracatu,0.00,0.00,,0.00,0.00,
387,maracatu,0.00,0.00,,0.00,0.00,
388,maracatu,0.00,0.00,,0.00,0.00,
389,maracatu,0.00,0.00,,0.00,0.00,
390,maracatu,0.00,0.00,,0.00,0.00,
391,maracatu,0.00,0.00,,0.00,0.00,
392,maracatu,0.00,0.00,,0.00,0.00,
393,maracatu,0.00,0.00,,0.00,0.00,
394,maracatu,0.00,0.00,,0.00,0.00,
395,maracatu,0.00,0.00,,0.00,0.00,
396,maracatu,0.00,0.00,,0.00,0.00,
397,maracatu,0.00,0.00,,0.00,0.00,
398,maracatu,0.00,0.00,,0.00,0.00,
399,maracatu,0.00,0.00,,0.00,0.00,
400,entrada antiga,0.00,0.00,,0.00,0.00,
401,entrada antiga,0.00,0.00,,0.00,0.00,
402,entrada antiga,0.00,0.00,,0.00,0.00,
403,entrada antiga,0.00,0.00,,0.00,0.00,
404,entrada antiga,0.00,0.00,,0.00,0.00,
405,entrada antiga,0.00,0.00,,0.00,0.00,
406,entrada antiga,0.00,0.00,,0.00,0.00,
407,entrada antiga,0.00,0.00,,0.00,0.00,
408,entrada antiga,0.00,0.00,,0.00,0.00,
409,entrada antiga,0.00,1.00,frase chocalhos,0.00,0.00,
410,entrada antiga,0.00,0.00,,0.00,0.00,
411,entrada antiga,0.00,0.00,,0.00,0.00,
412,entrada antiga,0.00,0.00,,0.00,0.00,
413,entrada antiga,1.00,0.00,frase agogos,0.00,0.00,
414,entrada antiga,0.00,0.00,,0.00,0.00,
415,entrada antiga,0.00,0.00,,0.00,0.00,
416,entrada antiga,0.00,0.00,,0.00,0.00,
417,entrada antiga,0.00,0.00,,0.00,0.00,
418,entrada antiga,0.00,0.00,,0.00,0.00,
419,entrada antiga,0.00,0.00,,0.00,0.00,
420,entrada antiga,0.00,0.00,,0.00,0.00,
421,entrada antiga,0.00,0.00,,0.00,0.10,surdos
422,entrada antiga,0.00,0.00,,0.00,0.00,
423,entrada antiga,0.00,0.00,,0.00,0.00,
424,entrada antiga,0.00,0.00,,0.00,0.00,
425,entrada antiga,0.00,0.00,,0.00,0.00,
426,entrada antiga,0.00,0.00,,0.00,0.00,
427,entrada antiga,0.00,0.00,,0.00,0.00,
428,entrada antiga,0.00,0.00,,0.00,0.00,
429,entrada antiga,0.00,0.00,,0.00,0.00,
430,entrada antiga,0.00,0.00,,0.00,0.00,
431,entrada antiga,0.00,1.00,frase surdos,0.00,0.00,
432,entrada antiga,0.00,0.00,,0.00,0.00,
433,entrada antiga,0.00,0.00,,0.00,0.10,tamborins
434,entrada antiga,0.00,0.00,,0.10,0.00,tamborins
435,entrada antiga,0.00,0.00,,0.00,0.00,
436,entrada antiga,0.00,0.00,,0.00,0.00,
437,entrada antiga,0.00,0.00,,0.00,0.00,
438,entrada antiga,0.00,0.00,,0.00,0.00,
439,entrada antiga,0.00,0.00,,0.00,0.00,
440,entrada antiga,0.00,0.00,,0.00,0.00,
441,entrada antiga,0.00,0.00,,0.00,0.00,
442,entrada antiga,0.00,0.00,,0.00,0.00,
443,entrada antiga,0.00,0.00,,0.00,0.00,
444,entrada antiga,0.00,0.00,,0.00,0.00,
445,entrada antiga,0.00,0.00,,0.00,0.00,
446,entrada antiga,0.00,0.00,,0.00,0.00,
447,entrada antiga,0.00,1.00,frase chocalhos,0.00,0.00,
448,entrada antiga,0.00,0.00,,0.00,0.00,
449,entrada antiga,0.00,0.00,,0.00,0.00,
450,entrada antiga,0.00,0.00,,0.00,0.00,
451,entrada antiga,0.00,0.00,,0.00,0.00,
452,entrada antiga,0.00,0.00,,0.00,0.00,
453,entrada antiga,0.00,0.00,,0.00,0.00,
454,samba,0.00,0.00,,0.00,0.00,
455,samba,1.00,0.00,frase chocalhos,0.00,0.00,
456,samba,0.00,0.00,,0.00,0.00,
457,samba,0.00,0.00,,0.00,0.00,
458,samba,0.00,0.00,,0.00,0.00,
459,samba,0.00,0.00,,0.00,0.00,
460,samba,0.00,0.00,,0.00,0.00,
461,samba,0.00,0.00,,0.00,0.00,
462,samba,0.00,0.00,,0.00,0.00,
463,samba,0.00,0.00,,0.00,0.00,
464,samba,0.00,0.00,,0.00,0.00,
465,samba,0.00,0.00,,0.00,0.00,
466,samba,0.00,0.00,,0.00,0.00,
467,samba,0.00,0.00,,0.00,0.00,
468,samba,0.00,0.00,,0.00,0.00,
469,samba,0.00,0.00,,0.00,0.00,
470,samba,0.00,0.00,,0.00,0.00,
471,samba,0.00,0.00,,0.00,0.00,
472,samba,0.00,0.00,,0.00,0.00,
473,samba,0.00,0.00,,0.00,0.00,
474,samba,0.00,0.00,,0.00,0.00,
475,solo caxa,0.00,0.00,,0.00,0.00,
476,solo caxa,0.00,0.00,,0.00,0.00,
477,solo caxa,0.00,0.00,,0.00,0.00,
478,solo caxa,0.00,0.00,,0.00,0.00,
479,solo caxa,0.00,0.00,,0.00,0.00,
480,solo caxa,0.00,0.00,,0.00,0.00,
481,solo caxa,0.00,0.00,,0.00,0.00,
482,solo caxa,0.00,0.00,,0.00,0.00,
483,solo caxa,0.00,0.00,,0.00,0.00,
484,solo caxa,0.00,0.00,,0.00,0.00,
485,solo caxa,0.00,0.00,,0.00,0.00,
486,solo caxa,0.00,0.00,,0.00,0.00,
487,solo caxa,0.00,0.00,,0.00,0.00,
488,solo caxa,0.00,0.00,,0.00,0.00,
489,solo caxa,0.00,0.00,,0.00,0.00,
490,solo caxa,0.00,0.00,,0.00,0.00,
491,solo caxa,0.00,0.00,,0.00,0.00,
492,solo caxa,0.00,0.00,,0.00,0.00,
493,solo caxa,0.00,0.00,,0.00,0.00,
494,solo caxa,0.00,0.00,,0.00,0.00,
495,solo caxa,0.00,0.00,,0.00,0.00,
496,solo caxa,0.00,0.00,,0.00,0.00,
497,solo caxa,0.00,0.00,,0.00,0.00,
498,solo caxa,0.00,0.00,,0.00,0.00,
499,solo caxa,0.00,0.00,,0.00,0.00,
500,solo caxa,0.00,0.00,,0.00,0.10,caixas
501,solo caxa,0.00,0.00,,0.00,0.00,
502,solo caxa,0.00,0.00,,0.00,0.00,
503,solo caxa,0.00,0.00,,0.00,0.00,
504,solo caxa,0.00,0.00,,0.00,0.00,
505,solo caxa,0.00,0.00,,0.00,0.00,
506,solo caxa,0.00,0.00,,0.00,0.00,
507,solo caxa,0.00,0.00,,0.00,0.00,
508,solo caxa,0.00,0.00,,0.00,0.00,
509,solo caxa,0.00,0.00,,0.00,0.00,
510,solo caxa,0.00,0.00,,0.00,0.00,
511,solo caxa,0.00,0.00,,0.00,0.00,
512,solo caxa,0.00,2.00,solo caixa,0.00,0.00,
